2016-03-19 12:46:55,735 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact org.apache.commons:commons-io:jar:1.3.2 has been relocated to commons-io:commons-io:jar:1.3.2
2016-03-19 12:46:55,891 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact org.apache.commons:commons-io:jar:1.3.2 has been relocated to commons-io:commons-io:jar:1.3.2
2016-03-19 12:46:56,200 [Worker-49] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for ram
2016-03-19 12:46:56,220 [Worker-49] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 4 sec
2016-03-19 12:46:56,793 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact org.apache.commons:commons-io:jar:1.3.2 has been relocated to commons-io:commons-io:jar:1.3.2
2016-03-19 12:46:57,007 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-19 12:46:57,025 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Madan Acharya\Desktop\Angular\ram\src\main\resources
2016-03-19 12:46:57,037 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-19 12:46:57,045 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Madan Acharya\Desktop\Angular\ram\src\test\resources
2016-03-19 12:47:38,408 [Worker-53] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Madan Acharya\Desktop\Angular\ram
2016-03-19 12:47:38,408 [Worker-53] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean
2016-03-19 12:47:45,495 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-19 12:47:45,510 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Madan Acharya\Desktop\Angular\ram\src\main\resources
2016-03-19 12:47:45,519 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-19 12:47:45,535 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Madan Acharya\Desktop\Angular\ram\src\test\resources
2016-03-19 12:48:10,395 [Worker-53] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ram:ram:0.0.1-SNAPSHOT @ C:\Users\Madan Acharya\Desktop\Angular\ram\pom.xml.
2016-03-19 12:48:10,743 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact org.apache.commons:commons-io:jar:1.3.2 has been relocated to commons-io:commons-io:jar:1.3.2
2016-03-19 12:48:11,256 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact org.apache.commons:commons-io:jar:1.3.2 has been relocated to commons-io:commons-io:jar:1.3.2
2016-03-19 12:48:11,402 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact org.apache.commons:commons-io:jar:1.3.2 has been relocated to commons-io:commons-io:jar:1.3.2
2016-03-19 12:48:11,888 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-19 12:48:11,903 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Madan Acharya\Desktop\Angular\ram\src\main\resources
2016-03-19 12:48:11,910 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-19 12:48:11,917 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Madan Acharya\Desktop\Angular\ram\src\test\resources
2016-03-19 12:48:11,922 [Worker-53] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ram
2016-03-19 12:48:11,922 [Worker-53] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ram
2016-03-19 12:48:11,938 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-19 12:48:22,377 [Worker-51] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Madan Acharya\Desktop\Angular\ram
2016-03-19 12:48:22,378 [Worker-51] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean
2016-03-19 12:48:25,521 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact org.apache.commons:commons-io:jar:1.3.2 has been relocated to commons-io:commons-io:jar:1.3.2
2016-03-19 12:48:25,705 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-19 12:48:25,710 [Worker-52] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Madan Acharya\Desktop\Angular\ram\src\main\resources
2016-03-19 12:48:25,712 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-19 12:48:25,721 [Worker-52] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Madan Acharya\Desktop\Angular\ram\src\test\resources
2016-03-19 12:48:35,599 [Worker-46] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Madan Acharya\Desktop\Angular\ram
2016-03-19 12:48:35,599 [Worker-46] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B install
2016-03-19 12:48:50,140 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-19 12:48:50,156 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Madan Acharya\Desktop\Angular\ram\src\main\resources
2016-03-19 12:48:50,166 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-19 12:48:50,173 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Madan Acharya\Desktop\Angular\ram\src\test\resources
2016-03-19 12:51:23,527 [Worker-48] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: shyam:com.shyam:0.0.1-SNAPSHOT @ C:\Users\Madan Acharya\Desktop\Angular\com.shyam\pom.xml.
2016-03-19 12:51:23,945 [Worker-48] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /com.shyam/src/main/java
2016-03-19 12:51:23,974 [Worker-48] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /com.shyam/src/main/resources
2016-03-19 12:51:23,982 [Worker-48] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /com.shyam/src/test/java
2016-03-19 12:51:23,989 [Worker-48] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /com.shyam/src/test/resources
2016-03-19 12:51:25,330 [Worker-54] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: shyam:com.shyam:0.0.1-SNAPSHOT @ C:\Users\Madan Acharya\Desktop\Angular\com.shyam\pom.xml.
2016-03-19 12:51:25,572 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-19 12:51:25,619 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-03-19 12:51:25,628 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-19 12:51:25,634 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-03-19 12:51:26,082 [Worker-53] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: shyam:com.shyam:0.0.1-SNAPSHOT @ C:\Users\Madan Acharya\Desktop\Angular\com.shyam\pom.xml.
2016-03-19 12:51:26,167 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-19 12:51:26,175 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-03-19 12:51:26,176 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-19 12:51:26,190 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
